sep=,
ID,Text,Translation,VoiceActor,Context
447736504931,7.62x54mmR,,,ModItemCaliber Default 762x54R Name
589568304301,5.45x39mm,,,ModItemCaliber Default 545x39 Name
156827796132,7.92x57mm,,,ModItemCaliber Default 792x57 Name
353011297055,"#you shouldnt be seeing this, msg rato, light stock effect",,,ModItemCharacterEffectCompositeDef shoot_move DisplayName
357872332596,Shooting Stance,,,ModItemCharacterEffectCompositeDef shooting_stance DisplayName
731952370122,"This character has his weapon prepared to shoot. Gives 1 aim level to every attack. Changing weapons, going prone, taking too much damage, reloading or moving will remove this effect.",,,ModItemCharacterEffectCompositeDef shooting_stance Description
537175194057,Shooting Stance,,,ModItemCharacterEffectCompositeDef shooting_stance AddEffectText
790751756023,Shooting Stance Removed,,,ModItemCharacterEffectCompositeDef shooting_stance RemoveEffectText
951132865971,Marked,,,ModItemCharacterEffectCompositeDef Marked DisplayName
700991940591,Attacks against the unit have increased <color EmStyle>Accuracy</color> and chance to score a <color EmStyle>Critical Hit</color>. ,,,ModItemCharacterEffectCompositeDef Marked Description
655587146312,<color EmStyle><DisplayName></color> is marked,,,ModItemCharacterEffectCompositeDef Marked AddEffectText
265057968990,<color EmStyle><DisplayName></color> is no longer marked,,,ModItemCharacterEffectCompositeDef Marked RemoveEffectText
578915441971,Revealed,,,ModItemCharacterEffectCompositeDef Revealed_R DisplayName
283258611358,This unit has had its position revealed. Attacks against it <color EmStyle>In the dark</color> only suffer half the normal penalty. ,,,ModItemCharacterEffectCompositeDef Revealed_R Description
926321942272,<color EmStyle><DisplayName></color> is revealed,,,ModItemCharacterEffectCompositeDef Revealed_R AddEffectText
281710807919,<color EmStyle><DisplayName></color> is no longer revealed,,,ModItemCharacterEffectCompositeDef Revealed_R RemoveEffectText
266755219257,Wounded,,,ModItemCharacterEffectCompositeDef wounded_Test DisplayName
509462874890,"Maximum <color EmStyle>HP reduced by <MaxHpReductionPerStack></color> per wound. Cured by the <color EmStyle>Treat Wounds</color> Operation in the Sat View.

<hide>Wounds also progressively impair <color EmStyle>Accuracy</color> and <color EmStyle>Free Move</color> due to the Heavy Wounds game rule.</hide>",,,ModItemCharacterEffectCompositeDef wounded_Test Description
644573309574,Recoil,,,ModItemCharacterEffectCompositeDef Rat_recoil DisplayName
810661063156,"Recoil accumulated from previous shots. Grants <color EmStyle>Accuracy penalty</color> to all firearm attacks. 

Will reach max penalty after <shots_fired_max> attacks.

Can be <color EmStyle>negated by aiming up to three times</color>, but high recoil can increase the cost for doing so. Fully aimed (+3 aim level) attacks will also <color EmStyle>reset the stacks</color>.

Currently increases aim cost - up to the third aim level - by <color EmStyle><aim_cost></color>.

Moving 3 tiles, reloading, entering Overwatch or exiting Shooting Stance will remove this effect. ",,,ModItemCharacterEffectCompositeDef Rat_recoil Description
373983661042,Out of Breath,,,ModItemCharacterEffectCompositeDef R_outofbreath DisplayName
981332796704,Penalty of <color EmStyle><ap_loss></color>per stack is applied to your maximum AP. Reduces <color EmStyle>Free Move AP</color> per stack. Recovers in the next turn.,,,ModItemCharacterEffectCompositeDef R_outofbreath Description
132260163193,<color EmStyle><DisplayName></color> is out of breath,,,ModItemCharacterEffectCompositeDef R_outofbreath AddEffectText
921616634109,RESERVED AP,,,ModItemCharacterEffectCompositeDef R_ReservedAP_stance DisplayName
275226346358,5.56 mm Hollow Point,,,ModItemInventoryItemCompositeDef _556_HP DisplayName
614648558919,5.56 mm Hollow Point,,,ModItemInventoryItemCompositeDef _556_HP DisplayNamePlural
652468104254,"5.56 Ammo for Assault Rifles, SMGs, and Machine Guns.",,,ModItemInventoryItemCompositeDef _556_HP Description
555702520499,"<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Fragmentation effects increase Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> No armor penetration
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> High Critical Damage
<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Inflicts <color EmStyle>Bleeding</color> ",,,ModItemInventoryItemCompositeDef _556_HP AdditionalHint
237082947551,5.56 mm Standard,,,ModItemInventoryItemCompositeDef _556_Basic DisplayName
620840656247,5.56 mm Standard,,,ModItemInventoryItemCompositeDef _556_Basic DisplayNamePlural
244611028370,"5.56 Ammo for Assault Rifles, SMGs, and Machine Guns.",,,ModItemInventoryItemCompositeDef _556_Basic Description
137656285071,<image UI/Conversation/T_Dialogue_IconBackgroundCircle.tga 400 130 128 120> Fragmentation effects increase Critical Damage,,,ModItemInventoryItemCompositeDef _556_Basic AdditionalHint
623218068133,5.56 mm Match,,,ModItemInventoryItemCompositeDef _556_Match DisplayName
440435018444,5.56 mm Match,,,ModItemInventoryItemCompositeDef _556_Match DisplayNamePlural
102739196864,"5.56 Ammo for Assault Rifles, SMGs, and Machine Guns.",,,ModItemInventoryItemCompositeDef _556_Match Description
